Scientific Name	Scientific Name Synonyms	English Name	English Name Synonyms	Species Code	Element Code	Global Status	Global Status Review Date	Prov Status	Prov Status Review Date	Prov Status Change Date	COSEWIC	COSEWIC Comments	BC List	Provincial FRPA	Land Use Objectives	Ecosection	Prov Wildlife Act	GOERT	MBCA	SARA	SARA Comments	General Status Canada	CITES	Name Category	Class (English)	Species Level	Kingdom	Phylum	Class	Order	Family	Forest Dist	MOE Region	Regional Dist	Municipality	BGC	Habitat Subtype	Origin	Presence	Breeding Bird	Ecosystem Group	Endemic	CDC Maps	Mapping Status	
Abies amabilis - Thuja plicata / Rubus spectabilis Moist Maritime 1		Amabilis Fir - Western Redcedar / Salmonberry Moist Maritime 1		 	C2A2BAARS1	G3G4		S2	April 01, 2019	April 01, 2019	 	 	Red	 	South Central Coast LUO	LIM;NIM;OUF;WIM						 		Ecological Community		 	Plant Community	 	 	 	 	DCR;DSC;DSI	1	CRD;CVRD;ACRD;CXRD;STRD	Cumberland	CWHmm1/07					Terrestrial Realm - Forest: Coniferous - moist/wet		N		
Abies amabilis - Thuja plicata / Tiarella trifoliata Moist Maritime 1		Amabilis Fir - Western Redcedar / Three-leaved Foamflower Moist Maritime 1		 	C1A9CAATT2	G2	September 02, 2005	S2	April 01, 2019	June 15, 2000	 	 	Red	 	South Central Coast LUO	LIM;NIM;OUF;WIM						 		Ecological Community		 	Plant Community	 	 	 	 	DCR;DSC;DSI	1	CRD;CVRD;ACRD;CXRD;STRD	Cumberland	CWHmm1/05					Terrestrial Realm - Forest: Coniferous - mesic	Y	N		
Abies grandis / Berberis nervosa		Grand Fir / Dull Oregon-grape		 	C1A9CAGMN1	G1		S1	March 31, 2009	June 15, 2000	 	 	Red	 		FRL;GEL;JDF;NAL;SGI;SOG						 		Ecological Community		 	Plant Community	 	 	 	 	DCK;DCR;DSC;DSI	1;2	MVRD;CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD	Delta;Victoria;Highlands;Langford;Richmond;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;View Royal;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Powell River;Sechelt;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo;Duncan	CDFmm/04					Terrestrial Realm - Forest: Coniferous - mesic		Y		
Abies grandis / Tiarella trifoliata		Grand Fir / Three-leaved Foamflower		 	C1A9CAGTT1	G1		S1	April 11, 2013	June 15, 2000	 	 	Red	 		FRL;GEL;JDF;NAL;SGI;SOG						 		Ecological Community		 	Plant Community	 	 	 	 	DCK;DCR;DSC;DSI	1;2	MVRD;CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD	Delta;Victoria;Highlands;Langford;Richmond;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;View Royal;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Powell River;Sechelt;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo;Duncan	CDFmm/06					Terrestrial Realm - Forest: Coniferous - moist/wet		Y		
Abronia umbellata var. breviflora	Abronia umbellata ssp. acutalata;Abronia umbellata ssp. breviflora	Pink Sand-verbena		ABROUMB3	PDNYC010N2	G4G5T2	March 24, 2014	S1	April 30, 2019	May 20, 2004	E (May 2004)	Full Species	Red	 		 				1-E (Jul 2005)		 		Vascular Plant	dicots	Variety	Plantae	Anthophyta	Dicotyledoneae	Caryophyllales	Nyctaginaceae	DSI	1	CVRD;ACRD	 	CWHvh	Sand Dune;Beach	Native	Regularly occurring		 	N	Y		
Acaulon muticum var. rufescens		 		ACAUMUT1	NBMUS01012	G4G5T4	July 11, 1996	S1	April 29, 2015	March 28, 1997	 	 	Red	 		 						 		Nonvascular Plant		Variety	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	DSI	1	CRD	 	 		Native	Regularly occurring		 	N	Y		
Accipiter gentilis laingi		Northern Goshawk, Laingi Subspecies		B-NOGO-LA	ABNKC12062	G5T2	April 06, 2016	S2	May 18, 2010	June 16, 1997	T (Apr 2013)	 	Red	Y (May 2004)		 				1-T (Jun 2003)		 		Vertebrate Animal	birds	Subspecies	Animalia	Craniata	Aves	Accipitriformes	Accipitridae	DCK;DCR;DNC;DNI;DQC;DSC;DSI;DSQ	1;2;6	CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;MWRD;CCRD;SQCRD	 	CDF;CWH	Estuary;Riparian Forest;Pasture/Old Field;Cultivated Field;Hedgerow;Meadow;Conifer Forest - Mesic (average);Conifer Forest - Dry;Conifer Forest - Moist/wet;Mixed Forest (deciduous/coniferous mix);Krummholtz	Native	Regularly occurring	Y	 	N	Y		
Achnatherum nelsonii ssp. nelsonii		Nelson's Needlegrass		ACHNNEL2	PMPOA5X182	G5T5	January 24, 2012	S1S3	March 31, 2015	March 31, 2015	 	 	Red	 		 						 		Vascular Plant	monocots	Subspecies	Plantae	Anthophyta	Monocotyledoneae	Cyperales	Poaceae	 	 	 	 	 		Native	Regularly occurring		 		Y		
Acipenser transmontanus pop. 1		White Sturgeon (Upper Kootenay River Population)		F-ACTR-01	AFCAA01051	G4T1Q	February 17, 2006	S1	April 24, 2018	November 22, 1993	E (Nov 2012)	 	Red	 		 				1-E (Jun 2003)		 		Vertebrate Animal	ray-finned fishes	Population	Animalia	Craniata	Actinopterygii	Acipenseriformes	Acipenseridae	DKL	4	CKRD	Kaslo;Nelson	ICH	Stream/River	Native	Regularly occurring		 	N	Y		
Acipenser transmontanus pop. 2		White Sturgeon (Upper Columbia River Population)		F-ACTR-02	AFCAA01052	G4T3T4	January 29, 2003	S1	April 24, 2018	December 01, 1994	E (Nov 2012)	 	Red	 		 				1-E (Jun 2003)		 		Vertebrate Animal	ray-finned fishes	Population	Animalia	Craniata	Actinopterygii	Acipenseriformes	Acipenseridae	DAB;DCO	4	CKRD;CSRD;KBRD	Castlegar;Nakusp;Slocan;New Denver;Silverton;Revelstoke;Golden;Trail	ICH	Stream/River;Lake;Pond/Open Water	Native	Regularly occurring		 	N	Y		
Acipenser transmontanus pop. 4		White Sturgeon (Lower Fraser River Population)		F-ACTR-04	AFCAA01054	G4T2	March 20, 2002	S1S2	April 24, 2018	April 24, 2018	T (Nov 2012)	 	Red	 		 						 		Vertebrate Animal	ray-finned fishes	Population	Animalia	Craniata	Actinopterygii	Acipenseriformes	Acipenseridae	DCK;DCS	2;3	MVRD;FVRD	Delta;Hope;Harrison Hot Springs;Anmore;Port Moody;Richmond;Kent;Lions Bay;Mission;Bowen Island;Pitt Meadows;Port Coquitlam;Chilliwack;Langley (District);Abbotsford;Surrey;White Rock;Vancouver;North Vancouver (District);North Vancouver (City);Burnaby;New Westminster;Coquitlam;West Vancouver;Maple Ridge;Belcarra	CDF;CWH;IDF	Kelp Bed;Stream/River;Intertidal Marine;Subtidal Marine;Marine Island;Reefs;Eelgrass Beds;Sheltered Waters - Marine;Pelagic	Native	Regularly occurring		 	Y	Y		
Acipenser transmontanus pop. 5		White Sturgeon (Upper Fraser River Population)		F-ACTR-05	AFCAA01055	G4T1	October 05, 2001	S2	April 19, 2018	June 04, 2018	E (Nov 2012)	 	Red	 		 				1-E (Jun 2003)		 		Vertebrate Animal	ray-finned fishes	Population	Animalia	Craniata	Actinopterygii	Acipenseriformes	Acipenseridae	DHW;DPG	7	FFRD	McBride;Prince George	ICH;SBS	Stream/River;Lake;Pond/Open Water	Native	Regularly occurring		 	Y	Y		
Acroscyphus sphaerophoroides		Mountain crab-eye		ACROSPH	NLT0001170	GNR		S2	April 29, 2019	April 29, 2019	SC (Apr 2016)	 	Red	 		 				1-SC (Feb 2019)		 		Fungus		Species	Plantae	Ascomycota	Ascomycetes	Caliciales	Caliciaceae	DKM	6	KSRD	 	CWHws		Native	Regularly occurring		 	N	Y		
Actaea elata var. elata	Cimicifuga elata	Tall Bugbane		ACTAELA1	PDRAN0T012	G4T4	September 14, 2015	S1S2	April 30, 2019	April 30, 2019	E (May 2018)	 	Red	Y (May 2004)		 				1-E (Jun 2003)		1 - At Risk (2010)		Vascular Plant	dicots	Variety	Plantae	Anthophyta	Dicotyledoneae	Ranunculales	Ranunculaceae	DCK	2	FVRD	 	CWHdm;CWHms;CWHvm;MHmm	Deciduous/Broadleaf Forest;Conifer Forest - Mesic (average);Mixed Forest (deciduous/coniferous mix)	Native	Regularly occurring		 	N	Y		
Actinemys marmorata	Clemmys marmorata;Emys marmorata	Western Pond Turtle		R-ACMA	ARAAD02030	G3G4	September 06, 2013	SX	March 30, 2018	June 30, 1998	XT (May 2012)	 	Red	 		 				1-XX (Jan 2005)		.2 - Extinct (2005)		Vertebrate Animal	turtles	Species	Animalia	Craniata	Chelonia	Cryptodeira	Emydidae	DCK	2	MVRD;FVRD	Delta;Langley (District);Vancouver;Burnaby	CWH	Swamp;Marsh;Stream/River;Lake;Pond/Open Water	Native	Regularly occurring		 	N	Y		
Adiantum capillus-veneris		Southern Maiden-hair		ADIACAP	PPADI03010	G5	August 26, 2016	S1	April 30, 2019	April 30, 1996	E (May 2011)	 	Red	 		 				1-E (Jun 2003)		1 - At Risk (2010)		Vascular Plant	ferns	Species	Plantae	Filicinophyta	Filicopsida	Filicales	Pteridaceae	DRM	4	EKRD	 	IDFxk	Hot Spring	Native	Regularly occurring		 	N	Y		
Aechmophorus clarkii		Clark's Grebe		B-CLGR	ABNCA04020	G5	April 06, 2016	S1B	March 05, 2015	January 10, 2009	 	 	Red	 		 			Y			2 - May be at risk (2005)		Vertebrate Animal	birds	Species	Animalia	Craniata	Aves	Podicipediformes	Podicipedidae	DOS	3	CSRD	 	 	Estuary;Marsh;Lake;Subtidal Marine;Pond/Open Water;Sheltered Waters - Marine	Native	Regularly occurring	Y	 	N	Y		
Aechmophorus occidentalis		Western Grebe		B-WEGR	ABNCA04010	G5	April 06, 2016	S1B,S2N	March 05, 2015	November 29, 2005	SC (May 2014)	 	Red	 		 			Y	1-SC (Nov 2017)		4 - Secure (2005)		Vertebrate Animal	birds	Species	Animalia	Craniata	Aves	Podicipediformes	Podicipedidae	DCO;DKL;DOS	3;4;8	CKRD;NORD;CSRD	 	BG;BWBS;CDF;CWH;ICH;IDF;MS;PP;SBPS;SBS	Estuary;Marsh;Lake;Subtidal Marine;Pond/Open Water;Sheltered Waters - Marine	Native	Regularly occurring	Y	 	N	Y		
Agrestia hispida		Desert vagabond		AGREHIS	NLLEC04010	G3	December 01, 1998	S1S2	April 30, 2010	April 30, 2010	 	 	Red	 		 						 		Fungus		Species	Plantae	Ascomycota	Lecanoromycetes	Pertusariales	Megasporaceae	 	 	 	 	 		Native	Regularly occurring		 	N	Y		
Allocetraria madreporiformis	Dactylina madreporiformis;Dufourea madreporiformis	V-fingers		ALLOMAD	NLT0009720	GNR		S1	April 30, 2010	April 30, 2010	 	 	Red	 		 						 		Fungus		Species	Plantae	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	 	 	 	 	 		Native	Regularly occurring		 	N	Y		
Allogona townsendiana		Oregon Forestsnail		MO-ALLTOW	IMGAS91040	G3G4	June 10, 2010	S2	December 01, 2015	December 01, 2015	E (Apr 2013)	 	Red	 		 				1-E (Jan 2005)		 		Invertebrate Animal	gastropods	Species	Animalia	Mollusca	Gastropoda	Stylommatophora	Polygyridae	DCK;DSI	1;2	MVRD;RDN;FVRD	 	CDF;CMA;CWH;ESSF;MH	Mixed Forest (deciduous/coniferous mix)	Native	Regularly occurring		 	N	Y		
Alnus rubra / Carex obnupta [ Populus trichocarpa ]		Red Alder / Slough Sedge [ Black Cottonwood ]		 	C1B2CARCO4	G1		S1	March 09, 2006	October 29, 1991	 	 	Red	 		FRL;GEL;JDF;NAL;SGI;SOG						 		Ecological Community		 	Plant Community	 	 	 	 	DCK;DCR;DSC;DSI	1;2	MVRD;CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD	Delta;Victoria;Highlands;Langford;Richmond;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;View Royal;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Powell River;Sechelt;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo;Duncan	CDFmm/14					Wetland Realm - Mineral Wetland Group: Swamp Wetland Class (Ws)		Y		
Alnus rubra / Lysichiton americanus		Red Alder / Skunk Cabbage		 	C1A9CARLA1	GNR		S2	April 19, 2010	April 19, 2010	 	 	Red	 		FRL;GEL;JDF;NAL;SGI;SOG						 		Ecological Community		 	Plant Community	 	 	 	 	DCK;DCR;DSC;DSI	1;2	MVRD;CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD	Delta;Victoria;Highlands;Langford;Richmond;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;View Royal;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Powell River;Sechelt;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo;Duncan	CDFmm/Ws52					Wetland Realm - Mineral Wetland Group: Swamp Wetland Class (Ws)		Y		
Alopecurus magellanicus	Alopecurus alpinus;Alopecurus borealis	Alpine Meadow-foxtail		ALOPMAG	PMPOA07020	G5	June 11, 2015	S1S2	April 30, 2019	April 29, 2015	 	 	Red	 		 						4 - Secure (2010)		Vascular Plant	monocots	Species	Plantae	Anthophyta	Monocotyledoneae	Cyperales	Poaceae	DPC	9	PRRD	 	BWBSmw;SWBmk	Tundra;Meadow;Heath;Fellfield	Native	Regularly occurring		 	N	Y		
Ambystoma mavortium	Ambystoma tigrinum	Blotched Tiger Salamander	Barred Tiger Salamander;Tiger Salamander	A-AMMV	AAAAA01142	G5	June 05, 2015	S2	December 31, 2016	June 01, 1996	E (Nov 2012)	 	Red	Y (May 2004)		 				1-E (Feb 2018)		4 - Secure (2005)		Vertebrate Animal	amphibians	Species	Animalia	Craniata	Amphibia	Caudata	Ambystomatidae	DAB;DOS	8	ACRD;KBRD;OSRD	Greenwood;Grand Forks;Osoyoos;Penticton;Kelowna;Trail;Summerland;Midway;Oliver;Rossland;Keremeos;Peachland	BG;ICH;IDF;PP		Native	Regularly occurring		 	N	Y		
Amelanchier alnifolia / Elymus trachycaulus		Saskatoon / Slender Wheatgrass		 	C3B4AAAAT1	G2		S2	October 31, 2004	September 29, 1994	 	 	Red	 		BAU;BUB;BUR;CBR;CRU;ESM;KIM;MAP;NAB;NAM;NAU;NBR;NEL;NEU;NOM;NSM;QUL;SBP;SOM;SSM;STH;STP;TAG;TEP;THH;WCR;WCU						 		Ecological Community		 	Plant Community	 	 	 	 	DJA;DKM;DMK;DND;DNI;DPG;DQU;DSS;DVA	5;6;7	CBRD;CCRD;KSRD;BNRD;PRRD;SKRD	Telkwa;Hazelton;New Hazelton;Houston;Burns Lake;Fraser Lake;Vanderhoof;Granisle;Smithers	ESSFmc;ESSFwv;ICHmc1;ICHmc2;SBSdk/81;SBSmc2					Terrestrial Realm - Grassland Group (G): Grassland Brushland Class (Gb)	Y	Y		
Ammannia robusta		Scarlet Ammannia		AMMAROB	PDLYT01050	G5	August 27, 2016	S1	April 30, 2019	April 30, 1996	E (May 2001)	 	Red	 		 				1-E (Jun 2003)		1 - At Risk (2010)		Vascular Plant	dicots	Species	Plantae	Anthophyta	Dicotyledoneae	Myrtales	Lythraceae	DOS	8	OSRD	 	BGxh	Bog;Fen;Swamp;Marsh;Alkali Ponds/Salt Flats;Riparian Shrub;Beach	Native	Regularly occurring		 	N	Y		
Ammodramus savannarum		Grasshopper Sparrow		B-GRSP	ABPBXA0020	G5	April 06, 2016	S1B	April 27, 2018	May 09, 2018	 	 	Red	Y (Jun 2006)		 			Y			4 - Secure (2005)		Vertebrate Animal	birds	Species	Animalia	Craniata	Aves	Passeriformes	Passerellidae	DOS	8	NORD;OSRD	 	BG;CDF;IDF;PP	Pasture/Old Field;Meadow;Grassland;Sagebrush Steppe;Antelope-brush Steppe	Native	Regularly occurring	Y	 	N	Y		
Ammospiza nelsoni	Ammodramus nelsoni	Nelson's Sparrow		B-NESP	ABPBXA0070	G5	April 06, 2016	S2B	April 27, 2018	October 06, 2000	NAR (May 1998)	 	Red	Y (Jun 2006)		 			Y			4 - Secure (2005)		Vertebrate Animal	birds	Species	Animalia	Craniata	Aves	Passeriformes	Passerellidae	DPC	9	PRRD	 	BWBS;CWH	Bog;Fen;Swamp;Marsh;Meadow;Riparian Herbaceous	Native	Regularly occurring	Y	 	N	Y		
Anaphalis margaritacea - Symphyotrichum foliaceum		Pearly Everlasting - Leafy Aster		 	C5C2AAMAF1	G2		S2	October 31, 2004	July 11, 2002	 	 	Red	 	Central and North Coast LUO;South Central Coast LUO	LIM						 		Ecological Community		 	Plant Community	 	 	 	 	DSI	1	RDN	 	MHmm1/00					Terrestrial Realm - Alpine Group (A): Alpine	Y	Y		
Anaptychia crinalis		Electrified millepede		ANAPCRI	NLTEST9040	G5	April 23, 2009	S2?	April 29, 2019	April 29, 2019	 	 	Red	 		 						 		Fungus		Species	Plantae	Ascomycota	Lecanoromycetes	Lecanorales	Physciaceae	DSS_C	6	KSRD	 	SWBmk		Native	Regularly occurring		 	N	Y		
Anarta edwardsii		Edwards' Beach Moth		LE-ANAEDW	IILEYHK020	GNR		S1	July 28, 2009	July 28, 2009	E (Apr 2009)	 	Red	 		 				1-E (Feb 2011)		 		Invertebrate Animal	insects	Species	Animalia	Mandibulata	Insecta	Lepidoptera	Noctuidae	DSI	1	CRD;CVRD;ACRD	 	CDF;CWH		Native	Regularly occurring		 	N	Y		
Andreaea heinemannii		 		ANDRHEI	NBMUS0A100	G3G5	March 21, 2000	S1	April 29, 2015	March 31, 2011	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Andreaeopsida	Andreaeales	Andreaeaceae	DSQ	2	SLRD	 	MH		Native	Regularly occurring		 	N	Y		
Andreaea mutabilis		 		ANDRMUT	NBMUS0A120	G5	February 28, 1996	S1S2	April 29, 2015	March 31, 2011	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Andreaeopsida	Andreaeales	Andreaeaceae	DQC	6	SQCRD	 	CWH		Native	Regularly occurring		 	N	Y		
Andreaea schofieldiana		 		ANDRSCH	NBMUS0A080	G2G3	February 26, 2001	S2	April 29, 2015	April 29, 2015	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Andreaeopsida	Andreaeales	Andreaeaceae	DCK;DCR;DCS	1;2	MVRD;CXRD;STRD	 	MH		Native	Regularly occurring		 	N	Y		
Andreaea sinuosa		 		ANDRSIN	NBMUS0A130	G2	May 26, 2009	S1S2	March 31, 2011	March 31, 2011	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Andreaeopsida	Andreaeales	Andreaeaceae	DCK;DCR;DCS;DNI;DQC;DSQ	1;2;6	MVRD;MWRD;SQCRD	 	CMA;CWHvm;MHmm;MHwh		Native	Regularly occurring		 	N	Y		
Andreaeobryum macrosporum		 		ANDRMAC	NBMUS8E010	G2G3	May 30, 2009	S2	April 29, 2015	March 31, 2011	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Andreaeopsida	Andreaeobryales	Andreaeobryaceae	DFN	9	NRRD	 	SWB		Native	Regularly occurring		 	N	Y		
Anemone occidentalis - Carex nigricans		Western Pasqueflower - Black Alpine Sedge		 	CEBC002001	G4		S2	October 31, 2004	July 31, 2002	 	 	Red	 		SPK						 		Ecological Community		 	Plant Community	 	 	 	 	DCO	4	CSRD	 	ESSFdk2;ESSFdkp;IMA					Terrestrial Realm - Alpine Group (A): Alpine		N		
Anemone piperi		Piper's Anemone		ANEMPIP	PDRAN040K0	G4	July 18, 2016	SH	April 30, 2019	April 30, 2017	 	 	Red	 		 						2 - May be at risk (2010)		Vascular Plant	dicots	Species	Plantae	Anthophyta	Dicotyledoneae	Ranunculales	Ranunculaceae	DKL	4	CKRD	 	ESSFwc	Conifer Forest - Mesic (average);Conifer Forest - Moist/wet	Native	Regularly occurring		 	N	Y		
Antennaria flagellaris		Stoloniferous Pussytoes		ANTEFLA	PDAST0H0W0	G5	August 05, 2014	S2	April 30, 2019	April 30, 2019	E (May 2004)	 	Red	 		 				1-E (Jul 2005)		1 - At Risk (2010)		Vascular Plant	dicots	Species	Plantae	Anthophyta	Dicotyledoneae	Asterales	Asteraceae	DCS	8	OSRD	 	IDFxh	Vernal Pools/Seasonal Seeps;Rock/Sparsely Vegetated Rock	Native	Regularly occurring		 	N	Y		
Antrozous pallidus		Pallid Bat		M-ANPA	AMACC10010	G4	April 04, 2016	S2	February 15, 2015	March 08, 2013	T (Nov 2010)	 	Red	 		 				1-T (Jun 2003)		1 - At Risk (2005)		Vertebrate Animal	mammals	Species	Animalia	Craniata	Mammalia	Chiroptera	Vespertilionidae	DOS	8	OSRD	Osoyoos;Oliver	BG;PP	Caves;Cliff;Talus;Grassland;Sagebrush Steppe;Conifer Forest - Dry;Urban/Suburban;Pond/Open Water;Industrial	Native	Regularly occurring		 	N	Y		
Apodemia mormo		Mormon Metalmark		LE-APOMOR	IILEPH7010	G5	February 11, 2016	S1	March 31, 2013	December 06, 1999	E (May 2014)	 	Red	 		 				1-E (Jan 2005)		6 - Not Assessed (2000)		Invertebrate Animal	insects	Species	Animalia	Mandibulata	Insecta	Lepidoptera	Riodinidae	DCS;DOS	8	OSRD	Osoyoos;Penticton;Oliver;Keremeos	BG;ESSF;IDF;PP	Grassland;Sagebrush Steppe;Antelope-brush Steppe	Native	Regularly occurring		 	N	Y		
Apotreubia hortoniae		 		 	NBHEP09020	GNR		S1			 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Hepatophyta	Jungermanniopsida	Metzgeriales	Treubiaceae	 	 	 	 	 		Native	Regularly occurring		 		N		
Arbutus menziesii / Arctostaphylos columbiana		Arbutus / Hairy Manzanita		 	CEBC001061	G2		S2	February 07, 2013	July 26, 2002	 	 	Red	 		GEL;NAL;OUF;SGI;SOG;SPR						 		Ecological Community		 	Plant Community	 	 	 	 	DCR;DSC;DSI	1;2	CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD	Lake Cowichan;Victoria;Highlands;Cumberland;Langford;Richmond;Gibsons;Sooke;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;View Royal;Comox;Colwood;North Saanich;Sidney;Metchosin;Parksville;Campbell River;Courtenay;Powell River;Sechelt;Esquimalt;North Cowichan;Port Alberni;Saanich;Ladysmith;Nanaimo;Duncan	CDFmm/00;CWHxm1/00					Terrestrial Realm - Forest: Broadleaf - dry	Y	N		
Arctanthemum arcticum ssp. arcticum	Leucanthemum arcticum	Arctic Daisy		ARCTARC1	PDAST2V012	G5TNR		S2	April 30, 2019	April 30, 2019	 	 	Red	 		 						 		Vascular Plant	dicots	Subspecies	Plantae	Anthophyta	Dicotyledoneae	Asterales	Asteraceae	DNC	6	KSRD	 	CWHwm	Marsh;Stream/River;Intertidal Marine;Mudflats - Intertidal	Native	Regularly occurring		 	N	Y		
Arctiostrotus vancouverensis		an earthworm		HA-ARCVAN	IAOLI10020	GNR		S2	April 29, 2019	January 22, 2019	 	 	Red	 		 						 		Invertebrate Animal	oligochaetes	Species	Animalia	Annelida	Oligochaeta	Haplotaxida	Megascolecidae	 	 	 	 	 		Native	Regularly occurring		 	N	N		
Arctopoa eminens		Eminent Bluegrass		ARCTEMI	PMPOA4Z0S0	G5	August 25, 2016	S1S2	April 30, 2019	April 29, 2015	 	 	Red	 		 						4 - Secure (2010)		Vascular Plant	monocots	Species	Plantae	Anthophyta	Monocotyledoneae	Cyperales	Poaceae	DKM	6	KSRD	 	CWHvm	Intertidal Marine;Beach	Native	Regularly occurring		 	N	Y		
Aristida purpurea - Hesperostipa comata - Erigeron filifolius		Red Three-awn - Needle-and-thread Grass - Thread-leaved Daisy		 	CEBC003141	GNR		S1S2	June 11, 2019	June 11, 2019	 	 	Red	 		 						 		Ecological Community		 	Plant Community	 	 	 	 	 	 	 	 	IDFxh4/Gg26;PPxh1/Gg26;PPxh3/Gg26					 		Y		
Arnellia fennica		 		ARNEFEN	NBHEP0A010	G5	March 07, 1991	S1S3	April 29, 2015	April 29, 2015	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Hepatophyta	Jungermanniopsida	Jungermanniales	Arnelliaceae	 	 	 	 	 		Native	Regularly occurring		 		Y		
Artemisia campestris - Festuca rubra / Racomitrium canescens		Northern Wormwood - Red Fescue / Grey Rock-moss		 	CEBC003071	G1		S1	March 19, 2008	March 19, 2008	 	 	Red	 		FRL;GEL;JDF;NAL;SGI;SOG						 		Ecological Community		 	Plant Community	 	 	 	 	DCR;DSC;DSI	1;2	CRD;CVRD;RDN;CXRD;STRD;PWRD	Victoria;Highlands;Langford;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Colwood;North Saanich;Sidney;Metchosin;Parksville;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo	CDFmm					Terrestrial Realm - Beach Group (B): Beachland Class (Bb)	P	Y		
Artemisia tridentata / Pseudoroegneria spicata		Big Sagebrush / Bluebunch Wheatgrass		 	C3A2BATAS1	G2		S2	May 14, 2013	September 22, 1994	 	 	Red	 		CAB;FRB;GUU;NIB;NOB;OKR;PAR;SCR;SOB;THB;TRU						 		Ecological Community		 	Plant Community	 	 	 	 	DCC;DCH;DCS;DKA;DMH;DOS	3;5;8	SLRD;TNRD;CORD;CBRD;OSRD	Cache Creek;Ashcroft;Osoyoos;Penticton;West Kelowna;Kamloops;Kelowna;Princeton;Summerland;Lake Country;Oliver;Keremeos;Merritt;Peachland;Logan Lake;Lytton;Lillooet	BGxh1/01;BGxh2/01;BGxh3/01;BGxw1/04;BGxw2/00;PPxh1/00;PPxh2/05					Terrestrial Realm - Grassland Group (G): Shrub Steppe Class (Gs)	Y	Y		
Artemisia tridentata / Pseudoroegneria spicata - Balsamorhiza sagittata		Big Sagebrush / Bluebunch Wheatgrass - Arrowleaf Balsamroot		 	C3A2BATBS1	G2		S2	October 31, 2004	July 31, 2002	 	 	Red	 		NOB;NOH;OKR;SHB;SOB;SRH						 		Ecological Community		 	Plant Community	 	 	 	 	DCS;DOS	3;8	CORD;NORD;CSRD;OSRD	Spallumcheen;Osoyoos;Penticton;West Kelowna;Kelowna;Princeton;Vernon;Summerland;Lake Country;Coldstream;Peachland	IDFxh1a/92;IDFxh1a/94;PPxh1/03					Terrestrial Realm - Grassland Group (G): Shrub Steppe Class (Gs)	Y	Y		
Artemisia tridentata ssp. vaseyana / Calamagrostis rubescens		Mountain Sagebrush / Pinegrass		 	C5B2BATCR1	GNR		S2	January 18, 2018	May 14, 2013	 	 	Red	Y (Jun 2006)		CAB;CAP;CCR;GUU;HOR;NIB;NOB;NOH;NTU;OKR;PAR;SCR;SHB;TRU;WOU						 		Ecological Community		 	Plant Community	 	 	 	 	DCC;DCS;DKA;DMH;DOS	3;5;8	SLRD;TNRD;CORD;NORD;CSRD;CBRD;OSRD	Logan Lake	ESSFxc/04;ESSFxc3/;MSxk/04;MSxk2/;MSxk3/					Terrestrial Realm - Grassland Group (G): Shrub Steppe Class (Gs)		Y		
Artemisia tripartita / Pseudoroegneria spicata - Balsamorhiza sagittata		Threetip Sagebrush / Bluebunch Wheatgrass - Arrowleaf Balsamroot		 	C3A2BATBS3	G1		S1	October 31, 2004	July 31, 2002	 	 	Red	 		NOB;OKR;SOB						 		Ecological Community		 	Plant Community	 	 	 	 	DCS;DOS	8	CORD;OSRD	Osoyoos;Penticton;West Kelowna;Kelowna;Princeton;Summerland;Lake Country;Peachland	PPxh1/00					Terrestrial Realm - Grassland Group (G): Shrub Steppe Class (Gs)	Y	N		
