Scientific Name	Scientific Name Synonyms	English Name	English Name Synonyms	Species Code	Element Code	Global Status	Global Status Review Date	Prov Status	Prov Status Review Date	Prov Status Change Date	COSEWIC	COSEWIC Comments	BC List	Provincial FRPA	Land Use Objectives	Ecosection	Prov Wildlife Act	GOERT	MBCA	SARA	SARA Comments	General Status Canada	CITES	Name Category	Class (English)	Species Level	Kingdom	Phylum	Class	Order	Family	Forest Dist	MOE Region	Regional Dist	Municipality	BGC	Habitat Subtype	Origin	Presence	Breeding Bird	Ecosystem Group	Endemic	CDC Maps	Mapping Status	
Pinus contorta / Festuca altaica / Stereocaulon spp.		Lodgepole Pine / Altai Fescue / Foam Lichens		 	CEBC000079	G3		S1S2	March 30, 2018	March 30, 2018	 	 	Red	 		CCR;CHP;NAU;NEU;WCR;WCU						 		Ecological Community		 	Plant Community	 	 	 	 	DCC;DCH;DCS;DNI;DQU;DVA	3;5;6	SLRD;TNRD;CBRD;CCRD;BNRD	 	MSxv/02					Terrestrial Realm - Forest: Coniferous - dry	Y	N		
Pinus contorta / Paxistima myrsinites / Calamagrostis rubescens		Lodgepole Pine / Falsebox / Pinegrass		 	CEBC000329	GNR		S2?	May 19, 2016	May 19, 2016	 	 	Red	 		CAP;NSH;TRU						 		Ecological Community		 	Plant Community	 	 	 	 	DHW;DKA;DMH	3;5	TNRD;CBRD	 	SBSmm/03;SBSmm/04					Terrestrial Realm - Forest: Coniferous - dry	P	N		
Pinus contorta / Polystichum kruckebergii - Aspidotis densa		Lodgepole Pine / Kruckeberg's Holly Fern - Dense Lace Fern		 	CEBC000875	G1		S1	May 26, 2015	April 20, 1995	 	 	Red	 		BOV;NAU;NEL;QUH;QUL						 		Ecological Community		 	Plant Community	 	 	 	 	DCC;DPG;DQU	5;7	CBRD;BNRD;FFRD	 	SBSmw/00					Terrestrial Realm - Forest: Coniferous - dry	Y	N		
Pinus contorta / Rhododendron columbianum / Empetrum nigrum		Lodgepole Pine / Trapper's-Tea / Crowberry		 	CEBC000082	GNR		S2?	May 19, 2016	May 19, 2016	 	 	Red	 		CHP						 		Ecological Community		 	Plant Community	 	 	 	 	DCC;DCH	5	CBRD	 	MSxv/05					Terrestrial Realm - Forest: Coniferous - mesic		N		
Pinus contorta / Rhododendron groenlandicum - Vaccinium myrtilloides		Lodgepole Pine / Labrador-Tea - Velvet-leaved Blueberry		 	CEBC000603	GNR		S2	November 21, 2014	November 21, 2014	 	 	Red	 		BBT;CAM;NPK;UFT						 		Ecological Community		 	Plant Community	 	 	 	 	DHW	3;7	TNRD;FFRD	Valemount;McBride	SBSdh1/05					Terrestrial Realm - Forest: Coniferous - dry;Terrestrial Realm - Forest: Coniferous - mesic	P	N		
Pinus contorta / Rhododendron macrophyllum		Lodgepole Pine / Pacific rhododendron		 	CEBC000876	G2		S2	October 31, 2004	June 15, 2000	 	 	Red	 		HOR						 		Ecological Community		 	Plant Community	 	 	 	 	DCK	2;8	FVRD	 	IDFww/00					Terrestrial Realm - Forest: Coniferous - dry	Y	N		
Pinus contorta / Sphagnum spp. CDFmm		Lodgepole Pine / Peat-mosses CDFmm		 	C2A2APCSG2	GNR		S1	October 31, 2004	May 12, 1992	 	 	Red	 		FRL;GEL;JDF;NAL;SGI;SOG						 		Ecological Community		 	Plant Community	 	 	 	 	DCK;DCR;DSC;DSI	1;2	MVRD;CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD	Delta;Victoria;Highlands;Langford;Richmond;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;View Royal;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Powell River;Sechelt;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo;Duncan	CDFmm/10					Wetland Realm - Peatland Group: Bog Wetland Class (Wb)		Y		
Pinus contorta var. contorta / Juniperus communis - Arctostaphylos columbiana		Shore Pine / Common Juniper - Hairy Manzanita		 	CEBC001062	GNR		S1	March 02, 2011	July 26, 2002	 	 	Red	 		SOG						 		Ecological Community		 	Plant Community	 	 	 	 	DSC	1	STRD	 	CWHxm1/00					Terrestrial Realm - Forest: Coniferous - dry	P	Y		
Pinus ponderosa - Populus tremuloides / Rosa woodsii		Ponderosa Pine - Trembling Aspen / Prairie Rose		 	C1A9BPPPT1	GNR		S1	October 31, 2004	July 16, 2002	 	 	Red	 		EKT						 		Ecological Community		 	Plant Community	 	 	 	 	DRM	4	EKRD	Cranbrook;Kimberley	PPdh2/03					Terrestrial Realm - Flood Group (F): Fringe Flood Class (Ff);Terrestrial Realm - Forest: Mixed - moist/wet		N		
Pinus ponderosa - Populus trichocarpa / Toxicodendron rydbergii		Ponderosa Pine - Black Cottonwood / Poison Ivy		 	C2B2CPPPB1	GNR		S1	June 19, 2013	June 17, 1993	 	 	Red	 		NOB;OKR;SOB						 		Ecological Community		 	Plant Community	 	 	 	 	DOS	8	OSRD	Osoyoos;Penticton;Oliver;Keremeos	BGxh1/06					Terrestrial Realm - Forest: Mixed - moist/wet		Y		
